CODIGO;DESCRICAO PRODUTO;P_CUSTO;P_VENDA;%MG_VD;
6432;GAIOLA P/COELHO B-05;102,97;166;61,21;
13643;GAIOLA P/COELHO E PORQUINHO DA INDIA STANDARD B0004 EPOXI;88,9;149;67,6;
13642;GAIOLA P/COELHO E PORQUINHO DA INDIA STANDARD B0004 PRATA;94,9;159;67,54;
12093;GAIOLA P/COELHO GD B-05 AZUL QUATINGUA;213,19;345;61,83;
7801;GAIOLA P/COELHO GD B-05 LARANJA;173,23;265;52,98;
11453;GAIOLA P/COELHO GD B-05 VERMELHA QUATINGUA;213,19;345;61,83;
11413;GAIOLA P/COELHO JEL PLAST;93,99;151;60,66;
7496;GAIOLA P/COELHO MD B-05 AZUL;90,2;145;0;
7803;GAIOLA P/COELHO MD B-05 VERDE;223,85;359;60,38;
3170;GAIOLA P/COELHO PQ;71,32;107;0;
16072;GAIOLA P/HAMSTER 3 ANDARES TUBO SUPER LUXO AZUL;129,9;210;61,66;
16071;GAIOLA P/HAMSTER 3 ANDARES TUBO SUPER LUXO LILAS;129,9;209,99;61,66;
9050;GAIOLA P/HAMSTER BASICA JEL PLAST;29,9;49;63,88;
11361;GAIOLA P/HAMSTER BIG SPACE AZUL;143,9;231;60,53;
12336;GAIOLA P/HAMSTER FILEZINHA;35,17;59;67,76;
13755;GAIOLA P/HAMSTER HAPPY HOME COMPLERA AMARELA 11117;98,98;159;60,64;
13751;GAIOLA P/HAMSTER HAPPY HOME COMPLERA AZUL 11114;98,98;159;60,64;
13756;GAIOLA P/HAMSTER HAPPY HOME COMPLERA ROSA11115;98,98;159;60,64;
7804;GAIOLA P/HAMSTER HOME B-1 AZUL H-09;20,35;33;0;
7805;GAIOLA P/HAMSTER HOME B-1 VERDE H-09;20,35;33;0;
7806;GAIOLA P/HAMSTER HOME B-1 VERM H-09;20,35;33;0;
4448;GAIOLA P/HAMSTER LABIRINTO C/TUBO EXTERN;99,9;169,9;70,07;
5116;GAIOLA P/HAMSTER LABIRINTO C/TUBO PQ;69,99;128;0;
11861;GAIOLA P/HAMSTER N2 THE PETS BRASIL;60,88;98;60,97;
3992;GAIOLA P/HAMSTER TRIPLEX COD.418;35,9;58;0;
2514;GAIOLA P/PAPAGAIO ARCO DUPLEX;52,91;87;0;
15801;GAIOLA P/PAPAGAIO ARCO DUPLEX 2 ATG 24A EPOXI A2530;171,51;274,9;60,28;
5875;GAIOLA P/PAPAGAIO ARCO DUPLEX EPOXI;139,73;224;60,31;
11443;GAIOLA P/PAPAGAIO REDONDA B 7 LARANJA QUATINGUA;121,22;194;60,04;
3398;GAIOLA P/PAPAGAIO REDONDA ESMERALDA B 7;105,41;169;60,33;
5961;GAIOLA PASSARO MANSO JEL PLAST;72,99;117;0;
13055;GAIOLA PERIQ.GD PRETA B 2 QUATINGUA;121,59;195;60,38;
12532;GAIOLA PERIQUITO GD AZUL B 2 COD,365;115,82;189;63,18;
12531;GAIOLA PERIQUITO GD PRETA/VERMELHA B 2 COD,379;121,29;195;60,77;
10915;GAIOLA PERIQUITO GRD COD.041 QUATINGUA;72,39;116;60,24;
1094;GAIOLA PIXARRO BAMBU GD REF.02;65;97,5;0;
1093;GAIOLA PIXARRO BAMBU MD REF.03;74,9;115;0;
4482;GAIOLA PIXARRO BAMBU VOADEIRA REF.19;168;252;0;
6439;GAIOLA PIXARRO FIBRA CLAS.ALT VOAD LC-34;118,81;190,1;0;
1936;GAIOLA PIXARRO FIBRA GG REF.11;100;170;0;
4481;GAIOLA PIXARRO FIBRA MD REF.13;75;130;0;
6438;GAIOLA PIXARRO FIBRA N05 QUATINGUA GM-16;108,33;174;60,62;
5657;GAIOLA PIXARRO FIBRA PIRACICABA;63,99;103;0;
5835;GAIOLA PIXARRO FIBRA PIRACICABA OVAL;76,66;115;0;
5886;GAIOLA PIXARRO FIBRA REF.14;90;145;0;
5884;GAIOLA PIXARRO FIBRA REF.15;100;160;0;
3063;GAIOLA PIXARRO VOADEIRA COD.01;100;160;0;
10403;GAIOLA PODEROSA 1,20MT CEDRINHO MALHA LARGA;200;370;85;
1892;GAIOLA SABIA FIBRA AMEICANA C/COXO LATER;54,82;88;0;
4261;GAIOLA SABIA FIBRA C/COXO EVERTON;56,99;92;0;
5887;GAIOLA SABIA FIBRA REF.17;110;180;0;
7148;GAIOLA SABIA N06 GM-18;86,4;139;60,88;
6098;GAIOLA SERRANA GD AZUL;82,37;125;0;
2489;GAIOLA TOPOLINO BAU;26,75;40,2;0;
4460;GAIOLA TRINCA FERRO BAOLADA MOGNO FIBRA;83,66;135;0;
4461;GAIOLA TRINCA FERRO BAOLADA PRETA FIBRA;83,66;135;0;
8040;GAIOLA VOADEIRA M.FINA 88CM REF.01 ARCO;130;210;0;
9398;GAIOLA VOADEIRA M.FINA 88CM REF.23 QUADR;130;210;0;
9397;GAIOLA VOADEIRA M.FINA FIBRA 1,20MT QUAD;180;299;0;
9396;GAIOLA VOADEIRA PIXARRO FIBRA 1,20MT 1/2;225;380;68,89;
10136;GAIOLA VOADEIRA PIXARRO FIBRA GM 19 QUATINGUA;133,78;214;59,96;
9634;GAIOLA VOADEIRA PIXARRO FIBRA GM 20 QUATINGUA;104,04;169;62,44;
2999;GAIOLAO TRIPLEX PAP.CALOPS.BRAGANCA;86,53;150;0;
5133;GALO CANTOR;6;15;0;
16965;GAMMARUS FD 28GR OCEAN TECH;29,34;46,99;60,16;
4625;GANADOL 50GR;36,86;59;60,07;
10183;GANCHO C BUCHA 8;0,28;0,6;114,29;
13738;GANCHO C/BUCHA 10;0,58;1,1;89,66;
10182;GANCHO C/BUCHA 6;0,23;0,45;95,65;
3563;GANCHO P/GAIOLA CARA DE GATO;1,01;1,6;0;
9264;GANCHO VERMELHO P/GAIOLA ESMERALDA;1,21;1,99;64,46;
1061;GARATEIA 01;0,33;0,7;0;
1060;GARATEIA 01 C/100 UN;32,4;52;0;
1063;GARATEIA 02;0,21;0,35;0;
1062;GARATEIA 02 C/100 UN;20,68;31,05;0;
4067;GARATEIA 04 C/100 UN;21,31;34,1;0;
4068;GARATEIA 04 XINGU;0,91;1,6;75,82;
1065;GARATEIA 06;0,19;0,4;0;
1064;GARATEIA 06 C/100 UN;19,22;31;0;
1057;GARATEIA 1/0;0,27;0,5;0;
1056;GARATEIA 1/0 XINGU;1,41;2,7;91,49;
11902;GARATEIA 10 XINGU;0,65;1,5;130,77;
11901;GARATEIA 12 XINGU;0,73;1,7;132,88;
1058;GARATEIA 2 XINGU;1,17;2,2;88,03;
3051;GARATEIA 2/0;0,3;0,6;0;
3050;GARATEIA 2/0 XINGU;1,48;2,7;82,43;
1059;GARATEIA 4/0;0,34;0,6;0;
13361;GARATEIA 6 XINGU;0,78;1,9;143,59;
11903;GARATEIA 8 XINGU;0,65;1,7;161,54;
9622;GARATEIA PINACLE 5XTREBLE N01;1,29;2,5;93,8;
9621;GARATEIA PINACLE 5XTREBLE N02;1,26;2,35;86,51;
9620;GARATEIA PINACLE 5XTREBLE N04;0,86;2,25;161,63;
9619;GARATEIA PINACLE 5XTREBLE N06;1,19;1,99;67,23;
9618;GARATEIA PINACLE 5XTREBLE N08;1,16;1,9;63,79;
9982;GARATEIA PINACLE 5XTREBLE N1/0;1,63;2,8;71,78;
9617;GARATEIA PINACLE 5XTREBLE N10;1,16;1,9;63,79;
9616;GARATEIA PINACLE 5XTREBLE N12;1,16;1,9;63,79;
9983;GARATEIA PINACLE 5XTREBLE N2/0;2;3,4;70;
9984;GARATEIA PINACLE 5XTREBLE N3/0;2,36;4;69,49;
16512;GARATEIA TREBLE N02 C/5UN CENTER PESCA;6,8;10,9;60,29;
16507;GARATEIA TREBLE N04 C/5UN CENTER PESCA;6,8;10,9;60,29;
16515;GARATEIA TREBLE N06 C/5UN CENTER PESCA;6,8;10,9;60,29;
16508;GARATEIA TREBLE N08 C/5UN CENTER PESCA;6,8;10,9;60,29;
16509;GARATEIA TREBLE N1/0 C/5UN CENTER PESCA;8;12,8;60;
16511;GARATEIA TREBLE N10 C/5UN CENTER PESCA;6,8;10,9;60,29;
16516;GARATEIA TREBLE N12 C/5UN CENTER PESCA;7,4;11,9;60,81;
16510;GARATEIA TREBLE N14 C/5UN CENTER PESCA;7,4;11,9;60,81;
16517;GARATEIA TREBLE N16 C/5UN CENTER PESCA;7,4;11,9;60,81;
16518;GARATEIA TREBLE N18 C/5UN CENTER PESCA;8;12,8;60;
16513;GARATEIA TREBLE N2/0 C/5UN CENTER PESCA;8,4;13,5;60,71;
16514;GARATEIA TREBLE N3/0 C/5UN CENTER PESCA;9,6;15,5;61,46;
7963;GARFIELD ADULTOS CARNE 1KG;13,39;19,9;0;
7962;GARFIELD CASTRADO PEIXE 1KG;13,39;19,9;0;
11181;GARFO P/PINTURA DRAGON;4,99;7,5;50,3;
14179;GARFO P/ROLO DE PINTURA CONDOR;5,6;8,4;50;
5867;GARFO P/ROLO DE PINTURA CONDOR;2,63;4,3;63,5;
4936;GARFO P/ROLO DE PINTURA TIGRE;3,094;4,99;0;
15629;GARFO P/ROLO DE PINTURA TIGRE;5,45;8,7;59,63;
388;GARMA IGR SHAMPOO 200ML;23,3;34,99;0;
389;GARMA IGR SPRAY 100ML;41,82;63;0;
9648;GARRAFA ISOTERMICA 2,5LT SOPRANO AZUL;27,18;41;50,85;
9898;GARRAFA ISOTERMICA 2,5LT SOPRANO VERMELHA;27,18;41;50,85;
10702;GARRAFA P/PINGA BARRO INDAIA;23,1;37;60,17;
15588;GARRAFA STANLEY;25;40;60;
8163;GARRAFA TERMICA 3,5 LT AZUL;12,83;22,5;0;
8162;GARRAFA TERMICA 3,5 LT VERMELHO OBBA;13,83;22,5;0;
15792;GARRAFA TERMICA 3LT AZUL. PRO;33,18;49,99;50,66;
14837;GARRAFA TERMICA 500ML XINGU HOT COLL XV3233;35,37;56,9;60,87;
14838;GARRAFA TERMICA 500ML XINGU TRAVEL BOTTLE XV3234;19,03;31;62,9;
14839;GARRAFA TERMICA 500ML XINGU VACCUM FLASK XV3241;25,51;41;60,72;
6167;GARRAFA TERMICA 5LT AZUL SIMOTHERMO;27,17;41;0;
4841;GARRAFA TERMICA 5LT AZUL SOPRANO;26,24;42;60,06;
2463;GARRAFA TERMICA 5LT TERMOLAR;20;28;0;
15314;GARRAFA TERMICA 5LT VERM. PRO;36,29;54,99;51,53;
9649;GARRAFA TERMICA 5LT VERM. SOPRANO;26,24;42;60,06;
4840;GARRAFA TERMICA 5LT VERMELHA SIMOTHERMO;27,17;41;0;
12508;GARRAFAO P/AGUA C/4 COPOS INDAIA;38,23;61,9;61,91;
10730;GARRAFAO TERMICO 3LT INVICTA AZUL;29;46,4;60;
10729;GARRAFAO TERMICO 3LT INVICTA VERMELHO;29;46,4;60;
4513;GARRAFAO TERMICO 5LT INVICTA AZUL;32,5;52;60;
8480;GARRAFAO TERMICO 5LT INVICTA VERMELHO;32,5;52;60;
7374;GARRAFAO TERMICO 5LT MOR AZUL;51,65;78;51,02;
13258;GARRAFAO TERMICO 5LT MOR AZUL;28,68;45,99;60,36;
7373;GARRAFAO TERMICO 5LT MOR VERMELHO;23,9;38;0;
16950;GARRAO DE CORDEIRO DEFUMADO /PET/;15;24;60;
8075;GAS BUDDY O.K;8;12,8;0;
7517;GAS BUTANO NAUTICA 190GRS;6,243;9,99;0;
7017;GAS CLIPPER 330ML;8,2;16,4;0;
9056;GAS NTK CAMPGAS 227GR;10,59;17,5;65,25;
15861;GAS SARA P/ CAMPGAS 227GR;11,7;17,5;49,57;
15566;GAS TUBEGAS 227GR;8,6;13,8;60,47;
7761;GAS VOLCANO 330ML;8,5;15,2;0;
10884;GAS VOLCANO PREMIUM REFINADO 9X 300ML;28,8;43,2;50;
14912;GATO PELUCIA 14CM COD TEX 1026;8,99;14,5;61,29;
7657;GAVIZ V 10 MG C 10COMP.;16,56;25,99;56,94;
9272;GAVIZ V 20 MG C/10COMP.;19,87;32,99;66,03;
16371;GAVIZ V 5 MG C 10COMP.;9,5;18,99;99,89;
10740;GAZEBO PANTOGRAFICO 3X3MT ALUMINIO E OXDORD AZUL C SACOLA;404,56;649,99;60,67;
14573;GEL CREME PROTECTOR 120ML;48;72;50;
11549;GEL DENTAL CHOCOLATE PET 60GR;8,47;13,6;60,57;
3229;GEL DENTAL GENIAL MORANGO 70GR;5,27;8,5;0;
11548;GEL DENTAL MENTA LION PET 60GR;8,47;13,6;60,57;
6671;GEL DENTAL MENTA PRO CANINE 60GR;8;12,8;60;
11546;GEL DENTAL MORANGO LION PET 60GR;8,47;13,6;60,57;
6670;GEL DENTAL MORANGO PRO CANINE 60GR;6,99;11,5;64,52;
12869;GEL DENTAL NEUTRO PET 60GR;6,99;11,5;64,52;
11547;GEL DENTAL TUTTI FRUTTI LION PET 60GR;8,47;13,6;60,57;
6669;GEL DENTAL TUTTY FRUTTI PRO CANINE 60G;6,99;11,5;64,52;
2046;GEL PARA ORELHAS COVELI 150GR;7,26;10,9;0;
6513;GELADEIRA FLUTUANTE 3 INTEX;73,76;120;0;
3147;GELADEIRA MEGA FLUTUANTE;30,4;53;0;
17076;GELATINOSO EUCALIPTO 1LT OIRAD;21,84;30,99;41,9;
944;GELO PAN 100GR;15,57;37,99;143,99;
3407;GELO PAN 450GR;35,81;58;0;
371;GENFLOC 1LT;13,5;22,5;66,67;
11572;GENTAMASTIL LACTANTE;6,08;9,8;61,18;
8247;GENTATEC MASTITE 250MG;6,09;9,75;60,1;
10778;GERIATRIC DOG 100GR;29,22;48;64,27;
11968;GERIATRIC DOG 28ML;63,83;95,8;50,09;
10707;GERIATRIC DOG 400GR;85,29;128;50,08;
16406;GERIPET 30COMP.;60;90;50;
2365;GERME DE MILHO 30KG;30;39;30;
483;GIACOCCIDE 1000MG 20COMP.;23,3;35;0;
482;GIACOCCIDE 170MG 20COMP.;10;15;0;
484;GIACOCCIDE 600MG 20COMP.;16;25;0;
13638;GIARDICID 500MG 10COMP.;97,29;156,99;61,36;
12118;GIARDICID 500MG 5COMP.;63,68;96,99;52,31;
13957;GIARDICID 50MG 10COMP.;57,44;86,99;51,44;
12119;GIARDICID SUSPENCAO 50ML;50,33;95,99;90,72;
10277;GIARDYPET 4COMP. LABGARD;16,25;26;60;
9996;GIFT AZUL;3,5;5;42,86;
9997;GIFT RED;3,5;5;42,86;
7888;GIRA GRILL 7 ESPETO SANTA EDWIRGEN;431,75;699;0;
17344;GIRADOR BS26.-N 4 10UN 24KG;2,82;4,6;63,12;
17343;GIRADOR BS26.-N 8 10UN 16KG;2,23;3,6;61,43;
12473;GIRADOR C/SNAP BLACK N02 C/07UN ALBATROZ;6,76;10,9;61,24;
12474;GIRADOR C/SNAP BLACK N04 C/08UN ALBATROZ;6,76;10,9;61,24;
12475;GIRADOR C/SNAP BLACK N06 C/11UN ALBATROZ;6,76;10,9;61,24;
14159;GIRADOR C/SNAP BLACK N08 C/13UN ALBATROZ;7,02;11,25;60,26;
12476;GIRADOR C/SNAP BLACK N10 C/15UN ALBATROZ;7,02;11,25;60,26;
12477;GIRADOR C/SNAP BLACK N12 C/15UN ALBATROZ;7,02;11,25;60,26;
14160;GIRADOR C/SNAP BLACK N14 C/15UN ALBATROZ;7,02;11,25;60,26;
3439;GIRADOR C/SNAP N01 C/100UN;20,75;33,2;0;
7040;GIRADOR C/SNAP N01 C/10UN;2,01;3,3;64,18;
711;GIRADOR C/SNAP N02 C/05UN;2,16;3,3;0;
3686;GIRADOR C/SNAP N02 C/10UN;2,38;3,9;63,87;
3440;GIRADOR C/SNAP N03 C/100UN;15,24;25;0;
13930;GIRADOR C/SNAP N03 C/10UN;2,59;4,3;66,02;
713;GIRADOR C/SNAP N04 C/05UN;1,19;2,4;0;
3687;GIRADOR C/SNAP N04 C/10UN;3,11;5;60,77;
3441;GIRADOR C/SNAP N05 C/100UN;11,88;19,5;0;
712;GIRADOR C/SNAP N05 C/10UN;3,49;5,7;63,32;
1095;GIRADOR C/SNAP N06 C/5UN;1,41;2,2;0;
3442;GIRADOR C/SNAP N07 C/100UN;9,59;16;0;
714;GIRADOR C/SNAP N08 C/10UN;3;4,8;60;
3443;GIRADOR C/SNAP N09 C/100UN;7,8;13;0;
1098;GIRADOR C/SNAP N10 C/10UN;3;4,8;60;
715;GIRADOR C/SNAP N10 C/15UN;3,02;4,55;0;
3444;GIRADOR C/SNAP N11 C/100UN;7,35;12;0;
2346;GIRADOR C/SNAP N12 C/10UN;3;4,8;0;
716;GIRADOR C/SNAP N12 C/15UN;2,51;3,8;0;
717;GIRADOR C/SNAP N14 C/15UN;2,01;3,02;0;
718;GIRADOR C/SNAP N16 C/15UN;2,15;3,3;0;
16443;GIRADOR C/SNAP NIQ. N08 C/13UN ALBATROZ;6,75;10,99;62,81;
16441;GIRADOR C/SNAP NIQ. N10 C/15UN ALBATROZ;6,76;10,99;62,57;
16438;GIRADOR C/SNAP NIQ. N12 C/15UN ALBATROZ;6,76;10,99;62,57;
16439;GIRADOR C/SNAP NIQ. N14 C/15UN ALBATROZ;6,76;10,99;62,57;
14157;GIRADOR COMUM BLACK N02 C/10 UN ALBATROZ;7,02;11,5;63,82;
14156;GIRADOR COMUM BLACK N04 C/13 UN ALBATROZ;7,03;11,25;60,03;
14155;GIRADOR COMUM BLACK N06 C/18 UN ALBATROZ;7,03;11,25;60,03;
14154;GIRADOR COMUM BLACK N08 C/24 UN ALBATROZ;7,03;11,25;60,03;
14153;GIRADOR COMUM BLACK N10 C/33 UN ALBATROZ;7,03;11,25;60,03;
14158;GIRADOR COMUM BLACK N12 C/33 UN ALBATROZ;7,03;11,25;60,03;
14152;GIRADOR COMUM BLACK N14 C/33 UN ALBATROZ;7,03;11,25;60,03;
701;GIRADOR COMUM N01 C/10 UN;3,2;5,2;0;
3446;GIRADOR COMUM N01 C/100UN;12,96;21;0;
11132;GIRADOR COMUM N01 C/9 UN;4,84;7,75;60,12;
2344;GIRADOR COMUM N02 C/10 UN;2,9;4,7;0;
704;GIRADOR COMUM N02 C/20 UN;4,54;6,81;0;
9612;GIRADOR COMUM N02 C/20 UN;3,5;5,6;60;
3447;GIRADOR COMUM N03 C/100UN;11,02;18;0;
1937;GIRADOR COMUM N04 C/10 UN;2,4;3,9;0;
11133;GIRADOR COMUM N04 C/13 UN;4,84;7,75;60,12;
702;GIRADOR COMUM N04 C/20 UN;3,64;5,5;0;
8388;GIRADOR COMUM N04 C/25 UN;4,9;7,9;61,22;
3448;GIRADOR COMUM N05 C/100UN;8,43;14;0;
11766;GIRADOR COMUM N05 C/25 UN;4,8;7,7;60,42;
1699;GIRADOR COMUM N06 C/10 UN;2,5;4;0;
13561;GIRADOR COMUM N06 C/10 UN MARURI;3;4,8;60;
703;GIRADOR COMUM N06 C/20 UN;2,71;4,1;0;
8387;GIRADOR COMUM N06 C/25 UN;3,5;5,6;60;
3092;GIRADOR COMUM N07 C/10 UN;0,83;1,9;0;
3449;GIRADOR COMUM N07 C/100UN;6,31;11;0;
705;GIRADOR COMUM N08 C/10 UN;2,5;4;0;
13562;GIRADOR COMUM N08 C/10 UN MARURI;3;4,8;60;
6617;GIRADOR COMUM N08 C/20 UN;2,5;4;0;
8386;GIRADOR COMUM N08 C/25 UN;4;6,5;62,5;
17219;GIRADOR COMUM N08 C/25 UN;6,9;11,1;60,87;
2345;GIRADOR COMUM N09 C/10 UN;1,14;1,8;0;
3450;GIRADOR COMUM N09 C/100UN;5,29;9;0;
12233;GIRADOR COMUM N1 C/50 UN;24;38,4;60;
3445;GIRADOR COMUM N1/0 C/100UN;15,92;26;0;
12238;GIRADOR COMUM N1/0 C/50 UN;27;43,2;60;
1938;GIRADOR COMUM N10 C/10 UN;1,11;1,8;0;
13563;GIRADOR COMUM N10 C/10 UN MARURI;3,29;5,3;61,09;
8385;GIRADOR COMUM N10 C/25 UN;4;6,5;62,5;
706;GIRADOR COMUM N10 C/33 UN;6,89;10,99;59,51;
12237;GIRADOR COMUM N11 C/50 UN;9,5;15,2;60;
1097;GIRADOR COMUM N12 C/10 UN;0,9;1,5;0;
13564;GIRADOR COMUM N12 C/10 UN MARURI;3,4;5,5;61,76;
707;GIRADOR COMUM N12 C/20 UN;2,5;4;0;
8382;GIRADOR COMUM N12 C/25 UN;4;6,5;62,5;
11134;GIRADOR COMUM N12 C/33 UN;4,84;7,75;60,12;
16442;GIRADOR COMUM N12 C/33 UN;6,9;11,5;66,67;
708;GIRADOR COMUM N14 C/20 UN;2,25;3,4;0;
11147;GIRADOR COMUM N14 C/33 UN;6,9;10,99;59,28;
709;GIRADOR COMUM N16 C/20 UN;1,89;2,9;0;
710;GIRADOR COMUM N18 C/20 UN;1,69;2,6;0;
12234;GIRADOR COMUM N5 C/50 UN;15;24;60;
12235;GIRADOR COMUM N7 C/50 UN;11,6;18,6;60,34;
12236;GIRADOR COMUM N9 C/50 UN;10,5;16,8;60;
12478;GIRADOR GOLD N02 C/10UN MARURI;3,67;5,9;60,76;
12479;GIRADOR GOLD N04 C/10UN MARURI;3,16;5,1;61,39;
12480;GIRADOR GOLD N06 C/10UN MARURI;3,21;5,2;61,99;
12481;GIRADOR GOLD N08 C/10UN MARURI;2,68;4,3;60,45;
12482;GIRADOR GOLD N10 C/10UN MARURI;2,69;4,4;63,57;
12483;GIRADOR GOLD N12 C/10UN MARURI;2,68;4,3;60,45;
12489;GIRADOR GOLD N14 C/10UN MARURI;2,68;4,3;60,45;
12490;GIRADOR GOLD N16 C/10UN MARURI;2,68;4,3;60,45;
13808;GIRADOR GOLD N18 C/10UN MARURI;2,68;4,3;60,45;
13809;GIRADOR GOLD N20 C/10UN MARURI;2,68;4,3;60,45;
16440;GIRADOR NIQ. N08 C/24UN ALBATROZ;6,9;11,5;66,67;
8391;GIRADOR TRIPLO N04 C/10UN;3,9;6,3;0;
8389;GIRADOR TRIPLO N06 C/10UN;3,32;5,5;65,66;
8390;GIRADOR TRIPLO N08 C 10UN;4,34;6,99;61,06;
15479;GIRADOR TRIPLO N10 C 10UN;3,8;6,2;63,16;
1192;GIRASSOL COMUM;6;10,2;70;
2263;GIRASSOL COMUM 30KG;180;252;40;
1191;GIRASSOL COMUM 40KG;100;135;0;
1194;GIRASSOL GRAUDO;7;11,99;71,29;
1193;GIRASSOL GRAUDO 20KG;140;189;35;
13891;GIRASSOL VERMELHO 600MG FELTRIN;2,2;3,3;50;
8787;GIZ DE LINHA 30MT 100GR AZUL BELTOOLS;14,1;22;0;
14721;GLICIODO IBASA 200ML;10,34;16,6;60,54;
15204;GLICOL PET 10ML ORGANNCT;5,71;8,99;57,44;
5995;GLICOL PET 120ML ORGANNCT;41,58;62,5;50,31;
6899;GLICOL PET 30ML ORGANNCT;20,78;33,3;60,25;
15706;GLICOPAN GOLD 30COMP.;50,29;81;61,07;
4751;GLICOPAN PET 125ML;35,32;52,99;50,03;
6366;GLICOPAN PET 30ML;22,15;35,5;60,27;
17240;GLICOPET 30 ML;17,71;28,99;63,69;
14431;GLICOPET CANINUS 125ML;32,74;49,5;51,19;
14207;GLICOPET CANINUS 30ML;15,33;24,99;63,01;
14208;GLICOPET FELINUS 30ML;25,13;39,99;59,13;
4175;GLICOSOL-L 10ML PASSAROS;5,78;9,25;0;
15659;GLIFOMATO C/10 FLACONETES DE 3ML;13,7;19,99;45,91;
6232;GLIFOSATO 1LT BIO CARB;11,5;24;0;
4282;GLIFOSATO BIOCARB 1LTR;10,9;24;0;
5508;GLIFOSATO DIPIL CX C/6 FLACONETES DE 20M;15,55;24;54,34;
5509;GLIFOSATO DIPIL FLACONETES DE 20ML;2,7;4,5;66,67;
10022;GLIFOSATO GLIFOMAX 100ML;6;9,6;60;
2076;GLIFOSATO PLUS PIKAPAU 100ML;3,89;5,9;0;
207;GLIFOSATO PLUS PIKAPAU 1LT;7,5;15;0;
9949;GLIFOSATO QUIMIAGRI 1 LT;17,9;26;45,25;
16097;GLIFOSATO QUIMIAGRI 100ML;7,5;11,25;50;
7965;GLOBION PET 10COMP.;12,341;19,9;0;
11412;GLOBO ACRILICO P/HAMSTER GD AMERICAN PETS;37,18;59,5;60,03;
15803;GLOBO ACRILICO P/HAMSTER PQ JEL PLAST;24,9;39,99;60,6;
11411;GLOBO ACRILICO P/HAMSTER PQ JELPLAST;16,7;26,8;60,48;
400;GLUCAFOS 200ML;15,96;26;62,91;
13308;GOIABADA 30GR;0,93;1,5;61,29;
13309;GOIABADA CASCAO 30GR;1,07;1,5;40,19;
16776;GOLDEN ADULTO CARNE MINI BITS 10,1KG;102,46;139,99;36,63;
14434;GOLDEN ADULTO LIGHT 15KG;138,88;194,9;40,34;
17067;GOLDEN ADULTO SENIOR 15KG;138,88;194,9;40,34;
14522;GOLDEN ADULTO SENIOR 15KG;130;179,9;38,38;
14490;GOLDEN ADULTOS CARNE 15KG;129,95;168,99;30,04;
13654;GOLDEN ADULTOS SPECIAL 15KG;110,86;144,9;30,71;
13655;GOLDEN ADULTOS SPECIAL KG;7,84;12,99;65,69;
2572;GOLDEN CARNE ADULTOS MINI BITZ 15KG;129,95;178,9;37,67;
13651;GOLDEN CARNE ADULTOS MINI BITZ KG;8,63;13,9;61,07;
14691;GOLDEN CARNE E ARROZ ADULTO MINIBITS 1KG;16,51;22,99;39,25;
14689;GOLDEN CARNE E ARROZ ADULTO MINIBITS 3KG;43,25;58,99;36,39;
14736;GOLDEN CARNE E ARROZ FILHOTES MINIBITS 1KG;17,54;23,99;36,77;
17068;GOLDEN CARNE E ARROZ PEQ.PORTE SENIOR 3KG;43,98;58,99;34,13;
13611;GOLDEN CARNE FILHOTES 15KG;137;179,99;31,38;
13652;GOLDEN CARNE FILHOTES KG;9,08;13,9;53,08;
14690;GOLDEN CARNE FILHOTES MINIBITS 3KG;45,45;61,99;36,39;
14173;GOLDEN COOKIE BANANA AVEIA E MEL ADULTO PORTE PEQ.350GR;11,95;18;50,63;
17004;GOLDEN COOKIE KRIPTO  ADULTO MORANGO LUEBERRY E BANANA 350GR;14,42;21,99;52,5;
15524;GOLDEN COOKIE MACA AVEIA  ADULTO PORTE PEQ.350GR;11,95;18;50,63;
14172;GOLDEN COOKIE ORIGINAL ADULTO 350GR;11,95;18;50,63;
14171;GOLDEN COOKIE ORIGINAL ADULTO PORTE PEQ. 350GR;11,95;18;50,63;
2718;GOLDEN DUO ERVASECORDEIRO 15KG;86,78;112,81;0;
2989;GOLDEN DUO SALMAO C/ERVAS CORDEI.ARROZ 3;30,32;41;0;
14575;GOLDEN FILHOTES CARNE MINI BITS 10KG;107,59;148,9;38,4;
14576;GOLDEN FILHOTES FRANGO MINI BITS 10KG;107,59;148,9;38,4;
1546;GOLDEN FRANGO ADULTO 1KG;7,55;10,75;0;
1545;GOLDEN FRANGO ADULTO MINIBITS 1KG;16,51;22,5;36,28;
1669;GOLDEN FRANGO ADULTO MINIBITS 3KG;43,25;56,99;31,77;
793;GOLDEN FRANGO ADULTOS 15KG;129,95;168,99;30,04;
13653;GOLDEN FRANGO ADULTOS KG;8,53;13,9;62,95;
2333;GOLDEN FRANGO ADULTOS MINI BITZ 15KG;129,95;178,9;37,67;
13656;GOLDEN FRANGO ADULTOS MINI BITZ KG;8,63;13,9;61,07;
15614;GOLDEN FRANGO E ARROZ PEQ.PORTE LIGHT 3KG;46,19;62,99;36,37;
15613;GOLDEN FRANGO E ARROZ PEQ.PORTE SENIOR 3KG;43,25;58,99;36,39;
14734;GOLDEN FRANGO FILHOTES;9,08;13,9;53,08;
2332;GOLDEN FRANGO FILHOTES 15KG;137,38;179,99;31,02;
1544;GOLDEN FRANGO FILHOTES MINIBITS 1KG;17,54;23,9;36,26;
1960;GOLDEN FRANGO FILHOTES MINIBITS 3KG;45,45;59,99;31,99;
14684;GOLDEN GATOS CARNE ADULTO 10,1KG;115;154,91;34,7;
