CODIGO;DESCRICAO PRODUTO;P_CUSTO;P_VENDA;%MG_VD;
44;PEITORAL C/GUIA DE NYLON SIMPLES N2;4,64;7,5;61,64;
46;PEITORAL C/GUIA DE NYLON SIMPLES N3;4,64;7,5;61,64;
1462;PEITORAL C/GUIA DE NYLON SIMPLES N4;4,64;7,5;61,64;
9533;PEITORAL C/GUIA SEDA  DUPLA ESPECIAL N07;24,79;39,9;60,95;
9532;PEITORAL C/GUIA SEDA  DUPLA ESPECIAL N08;27,16;43,5;60,16;
9535;PEITORAL C/GUIA SEDA  DUPLA ESPECIAL N09;26,24;42;60,06;
9534;PEITORAL C/GUIA SEDA  DUPLA ESPECIAL N10;26,24;42;60,06;
9743;PEITORAL C/GUIA SEDA  DUPLA ESPECIAL N10;29,9;45;50,5;
16691;PEITORAL C/GUIA XADREZ CAT BRANCO AZUL;11,99;19,99;66,72;
16689;PEITORAL C/GUIA XADREZ CAT BRANCO LILAS;11,99;19,99;66,72;
16690;PEITORAL C/GUIA XADREZ CAT BRANCO MARROM;11,99;19,99;66,72;
11723;PEITORAL CARTOON GD;38,66;62;60,37;
11322;PEITORAL CARTOON MD;31,5;53;68,25;
11323;PEITORAL CARTOON PQ;22,79;38;66,74;
6114;PEITORAL CETIM N0 C/APLIQUE;10,84;17,5;0;
6115;PEITORAL CETIM N1 C/APLIQUE;10,84;17,5;0;
6117;PEITORAL CETIM N2 C/APLIQUE;10,84;17,5;0;
6116;PEITORAL CETIM N3 C/APLIQUE;10,84;17,5;0;
6118;PEITORAL CETIM N4 C/APLIQUE;10,84;17,5;0;
8858;PEITORAL CONFORT MED.THE PET S BRASIL;13,46;21,6;0;
8857;PEITORAL CONFORT PEQ.THE PET S BRASIL;11,21;18;0;
2066;PEITORAL CORANO N0 PRETO;4,05;6,1;0;
2342;PEITORAL CORANO N1 PRETO;4,2;6,4;0;
2069;PEITORAL CORANO N1 ROSA;4,2;6,4;0;
1287;PEITORAL CORANO N2 PRETO;6,13;9,8;0;
1628;PEITORAL CORANO N2 ROSA;5,2;7,8;0;
36;PEITORAL CORANO N3 PRETO;6,32;10,2;0;
1282;PEITORAL CORANO N3 ROSA;5,4;8,1;0;
34;PEITORAL CORANO N4 PRETO;8,92;14,3;0;
2178;PEITORAL CORANO N4 ROSA;8,92;14,3;0;
1281;PEITORAL CORANO N5 PRETO;9,08;14,6;0;
1630;PEITORAL CORANO N5 ROSA;8,5;13,5;0;
1280;PEITORAL CORANO N6 PRETO;10,17;16,3;0;
2068;PEITORAL CORANO N6 ROSA;9,25;14,8;0;
6414;PEITORAL COURO C/PING.EMB.N05;11,05;17,7;0;
6413;PEITORAL COURO C/PING.EMB.N06;14,66;23,5;0;
6412;PEITORAL COURO C/PING.EMB.N07;14,66;23,5;0;
6411;PEITORAL COURO C/PING.EMB.N08;14,66;23,5;0;
1901;PEITORAL COURO LUXO EMBORACHADO N2;5,94;9,5;0;
1899;PEITORAL COURO LUXO EMBORACHADO N3;10,78;17,25;60,02;
1900;PEITORAL COURO LUXO EMBORACHADO N4;11,65;18,7;60,52;
2338;PEITORAL COURO LUXO EMBORACHADO N5;12,12;19,5;60,89;
1898;PEITORAL COURO LUXO EMBORACHADO N6;12,79;20,5;60,28;
1631;PEITORAL COURO LUXO EMBORACHADO N7;17,02;27,3;60,4;
1633;PEITORAL COURO LUXO EMBORACHADO N8;12,49;19,99;0;
7930;PEITORAL DE COURO C FORRO N04 CARAMELO;22,73;36,4;60,14;
4952;PEITORAL DE COURO C FORRO N06 CARAMELO;27,14;44,5;63,96;
8345;PEITORAL DE COURO C/FORRO N02 CARAMELO;16,47;26,5;60,9;
8344;PEITORAL DE COURO C/FORRO N03 CARAMELO;16,97;27,99;64,94;
6851;PEITORAL DE COURO C/FORRO N05 CARAMELO;25,03;40,1;60,21;
5007;PEITORAL DE COURO C/FORRO N07 CARAMELO;30,83;50,99;65,39;
5008;PEITORAL DE COURO C/FORRO N08 CARAMELO;31,39;51,99;65,63;
9194;PEITORAL DE COURO P/PIT-BULL CRAVEJADO;33,49;54;0;
8732;PEITORAL ELITE STRASS N0 ROSA;21,16;33,9;60,21;
10709;PEITORAL ELITE STRASS N0 ROSA;21,16;33,9;60,21;
8733;PEITORAL ELITE STRASS N1 ROSA;21,5;34,4;60;
